HomeTeam,AwayTeam,HomeGoals,AwayGoals,
Brentford,Arsenal,2,0,
Man Utd,Leeds,5,1,
Burnley,Brighton,1,2,
Chelsea,Crystal Palace,3,0,
Everton,Southampton,3,1,
Leicester,Wolves,1,0,
Watford,Aston Villa,3,2,
Norwich,Liverpool,0,3,
Newcastle,West Ham,2,4,
Spurs,Man City,1,0,
Liverpool,Burnley,2,0,
Aston Villa,Newcastle,2,0,
Crystal Palace,Brentford,0,0,
Leeds,Everton,2,2,
Man City,Norwich,5,0,
Brighton,Watford,2,0,
Southampton,Man Utd,1,1,
Wolves,Spurs,0,1,
Arsenal,Chelsea,0,2,
West Ham,Leicester,4,1,
Man City,Arsenal,5,0,
Aston Villa,Brentford,1,1,
Brighton,Everton,0,2,
Newcastle,Southampton,2,2,
Norwich,Leicester,1,2,
West Ham,Crystal Palace,2,2,
Liverpool,Chelsea,1,1,
Burnley,Leeds,1,1,
Spurs,Watford,1,0,
Wolves,Man Utd,0,1,
Crystal Palace,Spurs,3,0,
Arsenal,Norwich,1,0,
Brentford,Brighton,0,1,
Leicester,Man City,0,1,
Man Utd,Newcastle,4,1,
Southampton,West Ham,0,0,
Watford,Wolves,0,2,
Chelsea,Aston Villa,0,0,
Leeds,Liverpool,3,3,
Everton,Burnley,3,1,
Newcastle,Leeds,1,1,
Wolves,Brentford,0,2,
Burnley,Arsenal,0,1,
Liverpool,Crystal Palace,3,0,
Man City,Southampton,0,0,
Norwich,Watford,1,3,
Aston Villa,Everton,3,0,
Brighton,Leicester,2,1,
West Ham,Man Utd,1,2,
Spurs,Chelsea,0,3,
Chelsea,Man City,0,1,
Man Utd,Aston Villa,0,1,
Everton,Norwich,2,0,
Leeds,West Ham,1,2,
Leicester,Burnley,2,2,
Watford,Newcastle,1,1,
Brentford,Liverpool,3,3,
Southampton,Wolves,0,1,
Arsenal,Spurs,3,1,
Crystal Palace,Brighton,1,1,
Man Utd,Everton,1,1,
Burnley,Norwich,0,0,
Chelsea,Southampton,3,1,
Leeds,Watford,1,0,
Wolves,Newcastle,2,1,
Brighton,Arsenal,0,0,
Crystal Palace,Leicester,2,2,
Spurs,Aston Villa,2,1,
West Ham,Brentford,1,2,
Liverpool,Man City,2,2,
Watford,Liverpool,0,5,
Aston Villa,Wolves,2,3,
Leicester,Man Utd,4,2,
Man City,Burnley,2,0,
Norwich,Brighton,0,0,
Southampton,Leeds,1,0,
Brentford,Chelsea,0,1,
Everton,West Ham,0,1,
Newcastle,Spurs,2,3,
Arsenal,Crystal Palace,2,2,
Arsenal,Aston Villa,3,1,
Chelsea,Norwich,7,0,
Crystal Palace,Newcastle,1,1,
Everton,Watford,2,5,
Leeds,Wolves,1,1,
Southampton,Burnley,2,2,
Brighton,Man City,1,4,
Brentford,Leicester,1,2,
West Ham,Spurs,1,0,
Man Utd,Liverpool,0,5,
Leicester,Arsenal,0,2,
Burnley,Brentford,3,1,
Liverpool,Brighton,2,2,
Man City,Crystal Palace,0,2,
Newcastle,Chelsea,0,3,
Watford,Southampton,0,1,
Spurs,Man Utd,0,3,
Norwich,Leeds,1,2,
Aston Villa,West Ham,1,4,
Wolves,Everton,2,1,
Southampton,Aston Villa,1,0,
Man Utd,Man City,0,2,
Brentford,Norwich,1,2,
Chelsea,Burnley,1,1,
Crystal Palace,Wolves,2,0,
Brighton,Newcastle,1,1,
Arsenal,Watford,1,0,
Everton,Spurs,0,0,
Leeds,Leicester,1,1,
West Ham,Liverpool,3,2,
Leicester,Chelsea,0,3,
Aston Villa,Brighton,2,0,
Burnley,Crystal Palace,3,3,
Newcastle,Brentford,3,3,
Norwich,Southampton,2,1,
Watford,Man Utd,4,1,
Wolves,West Ham,1,0,
Liverpool,Arsenal,4,0,
Man City,Everton,3,0,
Spurs,Leeds,2,1,
Arsenal,Newcastle,2,0,
Crystal Palace,Aston Villa,1,2,
Liverpool,Southampton,4,0,
Norwich,Wolves,0,0,
Brighton,Leeds,0,0,
Brentford,Everton,1,0,
Leicester,Watford,4,2,
Man City,West Ham,2,1,
Chelsea,Man Utd,1,1,
Newcastle,Norwich,1,1,
Leeds,Crystal Palace,1,0,
